,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Average Precision,Matthews Correlation Coefficient,Cohen's Kappa,Time (s),Log Loss
0,mnoukhov/gpt2-imdb-sentiment-classifier,0.9283333333333333,0.9294068504594819,0.9283333333333333,0.9282885136543674,0.9283333333333333,0.8888994708994709,0.8577395120046135,0.8566666666666667,230.23796033859253,2.845196881538593
1,XSY/albert-base-v2-imdb-calssification,0.9325,0.933657624937681,0.9325,0.9324549230423914,0.9325,0.8941164817749603,0.8661568513509478,0.865,233.54750680923462,2.302352583806997
2,wrmurray/roberta-base-finetuned-imdb,0.945,0.946433547725474,0.945,0.9449558117488762,0.945,0.9099053627760253,0.8914323950537941,0.89,213.93476223945618,3.0957985114210183
3,lvwerra/distilbert-imdb,0.925,0.9262123373150295,0.925,0.9249466287137519,0.9249999999999999,0.8839794303797469,0.851211473980203,0.85,111.30703377723694,2.201056980993954
4,JiaqiLee/imdb-finetuned-bert-base-uncased,0.9241666666666667,0.924904347826087,0.9241666666666667,0.9241337386018237,0.9241666666666666,0.8848039999999999,0.8490706940404084,0.8483333333333334,220.45876574516296,3.126624279306181
5,Intradiction/text_classification_NoLORA,0.9275,0.9282434782608696,0.9275,0.9274685193226226,0.9275,0.8891960000000001,0.8557431552902348,0.855,110.99619698524475,2.43848710790093
